# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1484281	history	2	1388	0	1	2.8	1293586	1759	recent@history|top@history	HOT,SIGNAL	Mexico City is Sinking
1484285	lol	2	1068	0	10	2.6	74100	9656	recent@lol|top@lol	HOT,SIGNAL,SELF_POST_OPP	Citrea introduces shitcoin
1483970	econ	2	990	0	5	10.0	597594	3206	recent@econ|top@econ	SIGNAL,SELF_POST_OPP	Is deflation really worse?
1484124	math	2	722	0	3	7.6	48657	13588	recent@math|top@math	SIGNAL	Is this p-hacking in sports journalism?
1484286	Stacker_Stocks	2	635	0	1	2.6	280679	21150	recent@econ|top@econ|recent@Stacker_Stocks	SIGNAL	The House Always Wins
1484143	art	3	614	0	0	7.3	1039145	261	recent@Design|top@Design	SIGNAL	Forsythias of West Stockbridge
1484267	BooksAndArticles	2	585	0	2	3.6	440139	4135	recent@BooksAndArticles|top@BooksAndArticles	SIGNAL	Holy crap, an actual fantasy novel won the Pulitzer for fiction!
1484189	news	2	545	0	2	5.7	9274	22128	recent@Construction_and_Engineering|top@Construction_and_Engineering|recent@news	SIGNAL	Trump Signs Permit for Oil Pipeline Echoing Keystone XL
1484015	Memes	2	447	0	7	9.2	36151	1461	recent@Memes|top@Memes	SIGNAL,SELF_POST_OPP	Meme Monday - Top Meme Goes in the Newsletter
1484245	bitcoin	1	426	0	0	4.8	68821	2320	recent@bitcoin|top@bitcoin	SIGNAL	Zabbix monitoring for Electrum servers
1484162	Stacker_Stocks	2	424	0	0	6.6	1293586	1759	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Ebay Bought Me More Rivian
1484268	bitcoin	1	405	0	0	3.6	280679	21150	recent@bitcoin|top@bitcoin	SIGNAL	A Protocol for Zero-Confirmation Bitcoin Payments
1483957	Travel	3	388	0	0	10.2	51481	4000	recent@news|top@news	SIGNAL	Cruise ship waiting for help after outbreak of hantavirus onboard killed 3
1484226	bitcoin	1	384	0	0	5.2	1482441	4	recent@bitcoin|top@bitcoin|recent@bitdevs	SIGNAL	Happy 70th Hal Finney !
1484018	tech	1	343	0	5	9.2	458256	4588	recent@tech|top@tech|recent@econ	SIGNAL	Samsung family pays off record $8bn inheritance tax bill
1483990	bitcoin	1	282	0	1	9.7	996769	26	recent@bitcoin|top@bitcoin|recent@podcasts	SIGNAL	Bitcoin, Surveillance, and Why Patience Is a Strategy - American Hodl
1484274	AI	1	228	0	0	3.0	280679	21150	recent@AI|top@AI	SIGNAL	Copirate 365 at DEF CON: Plundering in the Depths of Microsoft Copilot
1484024	Politics_And_Law	3	167	0	4	9.0	401865	7985	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	UAE Air Defenses Responding to Missile Threat w/ Explosions Reported
1483921	AskSN	2	145	0	6	11.2	1452802	24	recent@AskSN|top@AskSN	SIGNAL	I tried trading instead of stacking for 2 weeks
1483972	news	2	133	0	0	9.9	297791	7480	recent@news|top@news	SIGNAL	Musk texted OpenAI's Brockman about settlement two days before trial began
1483999	lightning	1	123	0	1	9.5	699824	148	recent@lightning|top@lightning	SIGNAL	Feel the Breez: Stable Balance, Cash App, Club Orange, and more ⚡️
1484260	econ	2	123	0	0	3.7	1293586	1759	recent@econ|top@econ	SIGNAL	McDonalds is Killing the Free Refill
1483697	bitcoin	1	2786	0	16	22.9	74100	9656	recent@bitcoin|top@bitcoin	HOT	Will you heed my warnings NOW? - Scott Aaronson
1483426	meta	1	2352	0	34	32.7	402772	22075	recent@meta	HOT	From Austin to My Small Town in India — Thank You for the Cowboy Hat, SN
1483790	bitcoin	1	1681	0	10	18.7	121700	102	recent@bitcoin|top@bitcoin	HOT	Summary of "Finding Satoshi.." by my 9 year old
1483555	math	2	1573	0	32	27.8	88718	43182	recent@math	HOT	What would it look like if math were broken?
1483878	bitcoin_Mining	1	1289	0	12	12.7	714537	40	recent@bitcoin_Mining|top@bitcoin_Mining	HOT	What's the use of FOSS solomining (e.g. Bitaxe) when the hash rate is so small?
1483459	bitcoin_beginners	1	968	0	4	32.0	296825	4270	recent@bitcoin_beginners		Reimbursement options for victims of the May 1 exploit · Bisq Network
1483837	AskSN	2	838	0	9	14.5	144450	46	recent@AskSN|top@AskSN	SELF_POST_OPP	Anyone know why the Japan territory was archived? Or who founded it?
1483583	history	2	685	0	2	26.3	1293586	1759	recent@history		Another Lazy Sunday, Another Piece of Honking Farm Metal
1483902	Stacker_Sports	3	553	0	2	12.0	51481	4000	recent@lightning|top@lightning		Why prediction markets might be skipping the Kentucky Derby
1483866	AskSN	2	553	0	11	13.1	104755	12079	recent@AskSN|top@AskSN	SELF_POST_OPP	To what extent does your job offer you flexibility?
1483407	AI	1	481	0	8	33.4	12309	3442	recent@tech|recent@AI		xAI’s GPU fleet is running at about 11% utilization
1483503	bitcoin	1	447	0	3	30.7	178	895	recent@bitcoin		Sunday Survey: How much BTC total is in your lightning wallets right now?
1483514	AskSN	2	426	0	5	30.1	597594	3206	recent@AskSN	SELF_POST_OPP	Have you  had a reoccurring nightmare before?
1483567	bitcoin	1	374	0	2	26.9	74100	9656	recent@bitcoin		Lyn Alden vs Mike Brock: money, commerce, governance, and more
1483373	podcasts	2	360	0	0	35.7	9274	22128	recent@history|recent@podcasts		Bernardo de Gálvez: Forgotten Hero of the American Revolution
1483615	privacy	1	358	0	0	25.2	303620	5934	recent@privacy		A hacker built a tool to track police officers. Then he tried to warn them
1483576	bitcoin	1	303	0	2	26.6	1482441	4	recent@bitcoin		Ever thought about adding a passphrase to your main wallet?
1483530	nostr	1	204	0	2	29.3	1072161	62	recent@nostr		🗞️ The Latest in Nostr: Weekly Nostr Recap 🚀 (04th May 2026 - 74th Edition)
1483515	bitcoin	1	194	0	2	30.1	435224	1484	recent@bitcoin_beginners		What’s the best way to learn Bitcoin deeply?
1483828	Stacker_Stocks	2	180	0	10	14.9	9274	22128	recent@Stacker_Stocks|top@Stacker_Stocks		Daily Stock Discussion ~Stacker_Stocks
1483807	bitcoin	1	146	0	0	17.0	68842	576	recent@bitcoin|top@bitcoin		Hände Weg von Der Spekulationsfrist (Hands off the speculation period)
1483797	bitcoin_beginners	1	136	0	0	17.9	296825	4270	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoin_Mining		In 2010 ArtForz built a Bitcoin mining farm controlled 25% of the entire network
1483614	charts_and_maps	2	133	0	0	25.2	328182	3631	recent@charts_and_maps		MPG Ranch Raptor Tracker
1483607	lol	2	100	0	3	25.4	74100	9656	recent@lol		May the 4th Maxis Club new show! 2:00 PM EST
1483850	meta	1	97	0	0	14.2	36151	1461	recent@meta|top@meta		This Day on SN: May 4
1483628	Stacker_Stocks	2	97	0	1	24.6	9274	22128	recent@Stacker_Stocks		Blok Whatcha Buying Week #36
1483862	AI	1	90	0	1	13.6	30993	3317	recent@AI|top@AI		The Generation That Grew Up With Algorithms Just Called Bullshit on AI
1484302	AI	1	71	0	0	1.2	1	26307	recent@devs|top@devs|recent@AI	FRESH	Treat Agent Output Like Compiler Output
1483947	AI	1	69	0	0	10.5	280679	21150	recent@AI|top@AI|recent@Stacker_Stocks		TradingAgents: Multi-Agents LLM Financial Trading Framework
1484074	Design	2	69	0	0	8.2	470384	58	recent@Design|top@Design		My Life Inside the Bitcoin
1483584	Politics_And_Law	3	68	0	23	26.2	642641	7044	recent@history		What Netanyahu and the Israeli right mean when they invoke ‘Greater Israel’
1483410	bitcoin	1	57	0	2	33.3	1476948	10	recent@bitcoin_beginners		The self-custody gap nobody talks about
1483833	bitcoin_beginners	1	57	0	2	14.6	296825	4270	recent@bitcoin_beginners|top@bitcoin_beginners		[Warning] Michael Saylor is promoting Shitcoins
1483501	tech	1	50	0	0	30.8	13531	1623	recent@devs		Ubuntu infrastructure has been down for more than a day
1483455	AI	1	50	0	4	32.0	698001	8992	recent@AI|recent@news		[WATCH]: RBD News 5/2/26
1484282	science	2	41	0	0	2.8	280679	21150	recent@science|top@science		Science Has Found Even More Ways Coffee Is Good for You
1483512	AI	1	40	0	0	30.2	1248037	1649	recent@AI|recent@ideasfromtheedge		Coulon Agent A9 • HANGED-MAN AGENT
1484002	bitcoin_beginners	1	36	0	1	9.5	375687	3024	recent@bitcoin_beginners|top@bitcoin_beginners|recent@ideasfromtheedge		Knowing the truth about Bitcoin is a Superpower 💪🤠⚡
1483518	bitcoin_beginners	1	36	0	0	30.0	1248037	1649	recent@bitcoin_beginners|recent@bitdevs		nunchuk-io
1483502	bitcoin_beginners	1	36	0	0	30.8	296825	4270	recent@bitcoin_beginners		At University Of Goma DRC, Chickens Sold in Bitcoin: From Theory to Practical
