# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1483878	bitcoin_Mining	1	1282	0	11	9.4	714537	40	recent@bitcoin_Mining|top@bitcoin_Mining	HOT,SIGNAL	What's the use of FOSS solomining (e.g. Bitaxe) when the hash rate is so small?
1483970	econ	2	931	0	5	6.7	597594	3206	recent@econ|top@econ	SIGNAL,SELF_POST_OPP	Is deflation really worse?
1483837	AskSN	2	796	0	5	11.2	144450	42	recent@AskSN|top@AskSN	SIGNAL,SELF_POST_OPP	Anyone know why the Japan territory was archived? Or who founded it?
1484124	math	2	722	0	3	4.3	48657	13588	recent@math|top@math	SIGNAL	Is this p-hacking in sports journalism?
1484143	art	3	614	0	0	4.0	1039145	261	recent@Design|top@Design	SIGNAL	Forsythias of West Stockbridge
1483902	Stacker_Sports	3	553	0	2	8.7	51481	4000	recent@lightning|top@lightning	SIGNAL	Why prediction markets might be skipping the Kentucky Derby
1483866	AskSN	2	553	0	11	9.8	104755	12079	recent@AskSN|top@AskSN	SIGNAL,SELF_POST_OPP	To what extent does your job offer you flexibility?
1484189	news	2	509	0	2	2.4	9274	22123	recent@Construction_and_Engineering|top@Construction_and_Engineering|recent@news	SIGNAL	Trump Signs Permit for Oil Pipeline Echoing Keystone XL
1484015	Memes	2	447	0	7	5.9	36151	1461	recent@Memes|top@Memes	SIGNAL,SELF_POST_OPP	Meme Monday - Top Meme Goes in the Newsletter
1484267	BooksAndArticles	2	419	0	0	0.3	440139	4135	recent@BooksAndArticles|top@BooksAndArticles	FRESH,SIGNAL	Holy crap, an actual fantasy novel won the Pulitzer for fiction!
1483957	Travel	3	388	0	0	6.9	51481	4000	recent@news|top@news	SIGNAL	Cruise ship waiting for help after outbreak of hantavirus onboard killed 3
1484226	bitcoin	1	348	0	0	1.9	1482441	3	recent@bitcoin|top@bitcoin|recent@bitdevs	FRESH,SIGNAL	Happy 70th Hal Finney !
1484162	Stacker_Stocks	2	325	0	0	3.3	1293586	1758	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Ebay Bought Me More Rivian
1484018	tech	1	286	0	3	5.9	458256	4588	recent@tech|top@tech|recent@econ	SIGNAL	Samsung family pays off record $8bn inheritance tax bill
1483990	bitcoin	1	282	0	1	6.4	996769	26	recent@bitcoin|top@bitcoin|recent@podcasts	SIGNAL	Bitcoin, Surveillance, and Why Patience Is a Strategy - American Hodl
1483828	Stacker_Stocks	2	159	0	9	11.6	9274	22123	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Daily Stock Discussion ~Stacker_Stocks
1483921	AskSN	2	145	0	6	7.9	1452802	24	recent@AskSN|top@AskSN	SIGNAL	I tried trading instead of stacking for 2 weeks
1483972	news	2	133	0	0	6.7	297791	7479	recent@news|top@news	SIGNAL	Musk texted OpenAI's Brockman about settlement two days before trial began
1483999	lightning	1	123	0	1	6.2	699824	148	recent@lightning|top@lightning	SIGNAL	Feel the Breez: Stable Balance, Cash App, Club Orange, and more ⚡️
1484260	econ	2	123	0	0	0.5	1293586	1758	recent@econ|top@econ	FRESH,SIGNAL	McDonalds is Killing the Free Refill
1484024	Politics_And_Law	3	104	0	3	5.8	401865	7985	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	UAE Air Defenses Responding to Missile Threat w/ Explosions Reported
1483697	bitcoin	1	2786	0	16	19.6	74100	9654	recent@bitcoin|top@bitcoin	HOT	Will you heed my warnings NOW? - Scott Aaronson
1483426	meta	1	2352	0	34	29.4	402772	22075	recent@meta	HOT	From Austin to My Small Town in India — Thank You for the Cowboy Hat, SN
1483555	math	2	1573	0	32	24.5	88718	43178	recent@math	HOT	What would it look like if math were broken?
1483790	bitcoin	1	1261	0	10	15.4	121700	102	recent@bitcoin|top@bitcoin	HOT	Summary of "Finding Satoshi.." by my 9 year old
1483355	bitcoin	1	1220	0	19	34.2	46077	170	recent@bitcoin	HOT	Is bitcoin getting boring?
1483459	bitcoin_beginners	1	968	0	4	28.7	296825	4270	recent@bitcoin_beginners		Reimbursement options for victims of the May 1 exploit · Bisq Network
1483583	history	2	685	0	2	23.0	1293586	1758	recent@history|top@history		Another Lazy Sunday, Another Piece of Honking Farm Metal
1483369	AI	1	543	0	2	33.1	328182	3631	recent@AI		AI-generated actors and scripts are now ineligible for Oscars
1483407	AI	1	481	0	8	30.1	12309	3442	recent@tech|recent@AI		xAI’s GPU fleet is running at about 11% utilization
1483503	bitcoin	1	447	0	3	27.4	178	895	recent@bitcoin		Sunday Survey: How much BTC total is in your lightning wallets right now?
