# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1485908	meta	1	694	0	3	1.9	724606	10203	recent@meta|top@meta	FRESH,SIGNAL	Verify AND Trust: Grand Bazaar, Accountability & the Muhtasib (The Blind Spot)
1485822	AI	1	566	0	0	4.1	401865	8002	recent@AI|top@AI	SIGNAL	Pre Event AI + Expo Kickoff
1485828	bitcoin	1	432	0	7	3.9	74100	9727	recent@bitcoin|top@bitcoin|recent@privacy	SIGNAL	bitcoinprivacy.wiki
1485965	bitcoin	1	408	0	0	0.5	996769	27	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	You Can't Run Forever: Building Bitcoin Sovereignty from Inside the EU
1485749	AI	1	353	0	1	7.6	140698	1041	recent@AI|top@AI	SIGNAL	Stack Overflow - Number Of Questions Asked
1485883	meta	1	349	0	5	2.7	280679	21226	recent@meta|top@meta	SIGNAL	Territory Post/Comment Cost
1485819	tech	1	282	0	2	4.2	74100	9727	recent@bitcoin|top@bitcoin|recent@tech	SIGNAL	256D: Unlock Bitcoin Payments Across India’s UPI Merchant Network with Fedi
1485904	AI	1	234	0	10	2.0	74100	9727	recent@AI|top@AI	SIGNAL	AI Generated Content Broke the Social Contract - Alex Hillman
1485939	lightning	1	225	0	2	1.2	699824	150	recent@lightning|top@lightning	FRESH,SIGNAL	Instant bitcoin onboarding w/ Cash App in Breez SDK ⚡️
1485752	lol	2	175	0	0	7.3	280679	21226	recent@AI|top@AI	SIGNAL	A Kid With a Fake Mustache Tricked an Online Age-Verification Tool
1485759	AI	1	157	0	3	6.6	223678	5591	recent@AI|top@AI	SIGNAL	8B uncensored model , self-hosted, no cloud. You pay per token via Lightning
1485776	lightning	1	124	0	2	5.9	263526	329	recent@lightning|top@lightning	SIGNAL	LNalias.com — Free Lightning Address on Your Domain
1485317	art	3	3195	0	10	24.7	227606	2398	recent@bitcoin|recent@lightning	HOT,SELF_POST_OPP	Direct Current - Lightning Paywalls ✅ (maybe?)
