# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1485935	art	3	3130	0	14	9.0	900202	2216	recent@BooksAndArticles|top@BooksAndArticles	HOT,SIGNAL,SELF_POST_OPP	TERRITORY Announcement: ~the_stacker_muse fiction contest
1485997	bitcoin	1	2685	0	14	7.2	74100	9743	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	HOT,SIGNAL	Mitigating Undercutting Attacks: Mining and Tx Fee Behavior - Claire Bao
1485908	meta	1	2032	0	5	9.6	724606	10208	recent@meta|top@meta|recent@econ	HOT,SIGNAL	Verify AND Trust: Grand Bazaar, Accountability & the Muhtasib (The Blind Spot)
1485991	AI	1	1641	0	2	7.6	927054	40	recent@bitcoin|top@bitcoin|recent@AI	HOT,SIGNAL	Now Live on PPQ: Jamie Podcast Search
1486033	news	2	991	0	4	5.8	375005	2045	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	Governor of Carabobo State, Venezuela, offers reward for accusing miners.
1486048	lol	2	749	0	6	5.5	227606	2400	recent@bitcoin|top@bitcoin|recent@lol	SIGNAL,SELF_POST_OPP	Raise 'em right!
1485883	meta	1	727	0	7	10.4	280679	21238	recent@meta|top@meta	SIGNAL	Territory Post/Comment Cost
1485822	AI	1	689	0	0	11.8	401865	8007	recent@AI|top@AI	SIGNAL	Pre Event AI + Expo Kickoff
1486165	math	2	554	0	0	1.6	48657	13635	recent@bitcoin_beginners|top@bitcoin_beginners|recent@math	FRESH,SIGNAL	Cryptography Primer:  Keygen, Encrypt, Decrypt, Sign, Verify
1486059	bitcoin_Mining	1	551	0	2	5.1	294796	271	recent@bitcoin_Mining|top@bitcoin_Mining	SIGNAL	Trying out a new twist on the Mining Block Party - "Boost the Crowd"
1486068	bitcoin_beginners	1	548	0	0	4.9	33947	1538	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Memory techniques for your passphrase
1485828	bitcoin	1	528	0	12	11.7	74100	9743	recent@bitcoin|top@bitcoin|recent@privacy	SIGNAL	bitcoinprivacy.wiki
1485965	bitcoin	1	513	0	1	8.2	996769	27	recent@bitcoin|top@bitcoin|recent@podcasts	SIGNAL	You Can't Run Forever: Building Bitcoin Sovereignty from Inside the EU
1486058	bitcoin	1	380	0	0	5.2	74100	9743	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	Find a Bitaxe seller - Bitaxe website gets an update
1486069	econ	2	380	0	1	4.9	435224	1495	recent@econ|top@econ	SIGNAL	Could development economics be more useful?
1485904	AI	1	291	0	11	9.8	74100	9743	recent@AI|top@AI	SIGNAL	AI Generated Content Broke the Social Contract - Alex Hillman
1485819	tech	1	282	0	4	11.9	74100	9743	recent@bitcoin|top@bitcoin|recent@tech	SIGNAL	256D: Unlock Bitcoin Payments Across India’s UPI Merchant Network with Fedi
1485928	econ	2	279	0	3	9.1	280679	21238	recent@econ|top@econ	SIGNAL	2026 Economic Report of the President
1486013	AI	1	228	0	2	6.7	1245155	145	recent@AI|top@AI|recent@science	SIGNAL	Richard Dawkins is speedrunning making everyone hate him
1485993	lightning	1	225	0	0	7.5	280679	21238	recent@lightning|top@lightning	SIGNAL	ZeusLN/zeus · Release v13.0.1
1485939	lightning	1	225	0	3	8.9	699824	150	recent@lightning|top@lightning	SIGNAL	Instant bitcoin onboarding w/ Cash App in Breez SDK ⚡️
1486039	AI	1	218	0	0	5.7	280679	21238	recent@AI|top@AI|recent@Stacker_Stocks	SIGNAL	Introducing Amazon Bedrock AgentCore payments, built with Coinbase and Stripe
1486159	news	2	200	0	1	1.8	1293586	1775	recent@news|top@news	FRESH,SIGNAL	Canvas/Infrastructure Hackers Doubledown
1486138	news	2	190	0	2	2.9	1293586	1775	recent@news|top@news	SIGNAL	Campaign staffers tell NPR they make 'thousands' betting on their own candidates
1485927	Stacker_Stocks	2	163	0	0	9.1	9274	22180	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	🥱 Why are traders bored with Palantir? - Snacks
1485854	Stacker_Stocks	2	142	0	12	11.1	9274	22180	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Daily Stock Discussion ~Stacker_Stocks
